
label:               N/A
model:               bmDCA                                             
input MSA:           final_fullpf00014.fasta                           
alphabet:            protein                                           
sampler:             gibbs                                             
nchains:             10000                                             
nsweeps:             10                                                
lr:                  0.05                                              
pseudo count:        0.00011791062374719962                            
data type:           float32                                           
target Pearson Cij:  0.95                                              
random seed:         0                                                 

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time      
4100       0.944      0.935      -62.004    nan        0.958      68.554     1.000      13576.474 
4150       0.944      0.935      -61.797    nan        0.958      68.266     1.000      13727.057 
4200       0.944      0.939      -61.591    nan        0.957      68.307     1.000      13876.492 
4250       0.944      0.939      -61.385    nan        0.957      67.787     1.000      14024.806 
4300       0.945      0.937      -61.180    nan        0.956      67.709     1.000      14173.953 
4350       0.945      0.939      -60.977    nan        0.956      67.368     1.000      14324.086 
4400       0.945      0.944      -60.773    nan        0.956      67.239     1.000      14475.455 
4450       0.946      0.948      -60.570    nan        0.955      66.905     1.000      14624.943 
4500       0.946      0.952      -60.367    nan        0.955      66.822     1.000      14775.274 
4550       0.946      0.942      -60.165    nan        0.955      66.562     1.000      14926.797 
4600       0.946      0.949      -59.964    nan        0.954      66.355     1.000      15077.284 
4650       0.947      0.948      -59.763    nan        0.954      66.241     1.000      15228.585 
4700       0.947      0.939      -59.563    nan        0.954      66.144     1.000      15378.479 
4750       0.947      0.945      -59.364    nan        0.953      65.943     1.000      15529.848 
4800       0.947      0.944      -59.165    nan        0.953      65.815     1.000      16880.180 
4850       0.946      0.945      -58.967    nan        0.953      65.476     1.000      17025.652 
4900       0.947      0.946      -58.768    nan        0.952      65.395     1.000      17168.431 
4950       0.947      0.948      -58.571    nan        0.952      64.794     1.000      17323.928 
5000       0.947      0.949      -58.374    nan        0.951      64.893     1.000      17850.569 
5050       0.948      0.950      -58.178    nan        0.951      64.484     1.000      18715.404 
5550       0.949      0.952      -56.238    nan        0.947      62.763     1.000      20537.617 
5575       0.950      0.968      -56.143    nan        0.947      62.399     1.000      20676.927 
